player,deck,,,,,
_Tia93_,Delver,,,,,
3minem,Izzet Delver,,,,,
420dragon,Kitty,,,,,
Aliau13,Affinity,,,,,
AndyCreighton,Slivers,,,,,
BERNASTORRES,Delver,,,,,
Bielzito,Affinity,,,,,
chenstein9,Stompy,,,,,
CounterTopGarchomp,Dimir Flicker,,,,,
deluxeicoff,Inside Out,,,,,
DoubleDrain,Burn,,,,,
EightSixEightSix,Dimir Alchemy,,,,,
Fat Fingers,Grixis,,,,,
GeneralSmallChild,Dimir Teachings,,,,,
greenprinny,Inside Out,,,,,
headshot93,MBC,,,,,
Hellsau,Esper Familiars,,,,,
hetare_ane,Murasa Tron,,,,,
HolyShamgar,Izzet Delver,,,,,
Hrymfaxe,Stompy,,,,,
i_b_TRUE,Kitty,,,,,
Ichisuka,Izzet Delver,,,,,
Ja2zPL,Kitty,,,,,
Jiimy,Affinity,,,,,
kanister,Affinity,,,,,
Kombo11408,Stompy,,,,,
kungfutrees,Dimir Exhume,,,,,
Lafsen,Hexproof,,,,,
Lager_in_the_Wild,Dimir Teachings,,,,,
Landocards,RDW,,,,,
LuckyOnline,Elves,,,,,
MakingSmartPlays,Izzet Delver,,,,,
MARI1962,Affinity,,,,,
Mathonical,Midnight Gond,,,,,
medvedev,Burn,,,,,
mlovbo,Izzet Control,,,,,
Mr_Steal_Yo_Girl,Delver,,,,,
Mundisv,Dimir Flicker,,,,,
oyola,Delver,,,,,
Pantaberde,Kitty,,,,,
pauljwinsk,MBC,,,,,
Petros_MTG,WB Pestilence,,,,,
pinato,RUG Tron,,,,,
pokerswizard,Burn,,,,,
pproteus,Stompy,,,,,
PTarts2win,Affinity,,,,,
redler,Izzet Delver,,,,,
Rico0389,Dimir Angler,,,,,
Rindsgerd,Dimir Angler,,,,,
Sarusta,Dimir Flicker,,,,,
ScaughtyO,Eye Candy,,,,,
seanhawes,Izzet Delver,,,,,
Sixes,Dimir Flicker,,,,,
spartan117gottshall,WB Pestilence,,,,,
Spokes,Elves,,,,,
STLZACH,Dimir Exhume,,,,,
TaotheNinja,Dinrova Tron,,,,,
tarkanmag,Dimir Alchemy,,,,,
TheMagePower,Izzet Delver,,,,,
TheStoneColdNuts,Stompy,,,,,
TMPWDobs,Dimir Flicker,,,,,
Toastmachine,Eye Candy,,,,,
Watchwolf92,Dimir Teachings,,,,,
Yggdresil,x,,,,,
