Round,P1,P1 Deck,P2,P2 Deck,W,L
1,__CH1,Affinity,andersongouvea,Affinity,1,2
1,_DissonancE_,Stompy,elevatorrider,Affinity,2,1
1,_Takeno_,Affinity,Mathonical,Midnight Gond,0,2
1,420dragon,Esper Familiars,goyo315,Izzet Delver,1,2
1,airfarmer,Spy,miz_yari,Monowhite,0,2
1,alfreditomelira,Stompy,Malkafa,Dinrova Tron,2,1
1,Bboycott,Hexproof,kungfutrees,Stompy,2,0
1,BEAFy,Izzet Control,Xto2,Izzet Control,0,2
1,Bielzito,Dinrova Tron,Spokes,Stompy,2,0
1,bigcaban2,Dinrova Tron,Smashing Centaur,Red Heroic,2,1
1,Brivenix,Delver,TaotheNinja,Dinrova Tron,2,0
1,Brott,Murasa Tron,TonyMontana,Affinity,0,2
1,Condescend,Izzet Delver,nuninman,Izzet Delver,2,0
1,Couldreaver,Hexproof,Tyrannical,RUG Tron,2,0
1,crazy_alex,Affinity,ScaughtyO,Dimir Exhume,2,0
1,D0C70RF4U57,Dimir Angler,Toastmachine,Eye Candy,1,2
1,darkrayne0,Eye Candy,redler,Izzet Delver,0,2
1,Entropic_Thunder,RDW,Hrymfaxe,Stompy,0,2
1,greenprinny,Inside Out,TheMagePower,Izzet Delver,1,2
1,Hellsau,Esper Familiars,Russkov14,Slivers,2,0
1,herosaine2006,Affinity,Sambos,Dimir Teachings,2,0
1,HolyShamgar,Izzet Delver,qbturtle15,Dimir Alchemy,1,2
1,Iltahuikaisu,Burn,Tabadonk,Burn,2,0
1,Kzrds,Izzet Control,MakingSmartPlays,Tortured Existence,1,2
1,m0torhead,Burn,Pro_Yojimb0o_Pro,Izzet Burn,1,2
1,Mandark,Dimir Alchemy,tarkanmag,Dimir Flicker,0,2
1,manyasone,Delver,pproteus,Stompy,1,2
1,medvedev,Izzet Delver,Servemais,Elves,2,0
1,pokerswizard,Delver,tedlyted,Dinrova Tron,1,2
1,Rindsgerd,Dimir Angler,vlaprohor,Stompy,0,2
1,varanasibaby,Murasa Tron,WWEHBK,Affinity,1,2
2,__CH1,Affinity,herosaine2006,Affinity,2,1
2,_DissonancE_,Stompy,Bielzito,Dinrova Tron,2,0
2,_Takeno_,Affinity,Mandark,Dimir Alchemy,2,1
2,420dragon,Esper Familiars,D0C70RF4U57,Dimir Angler,2,1
2,airfarmer,Spy,m0torhead,Burn,2,1
2,alfreditomelira,Stompy,miz_yari,Monowhite,2,0
2,andersongouvea,Affinity,goyo315,Izzet Delver,2,0
2,Bboycott,Hexproof,pproteus,Stompy,0,2
2,BEAFy,Izzet Control,varanasibaby,Murasa Tron,0,2
2,bigcaban2,Dinrova Tron,TonyMontana,Affinity,2,1
2,Brivenix,Delver,redler,Izzet Delver,2,1
2,Brott,Murasa Tron,kungfutrees,Stompy,1,2
2,Condescend,Izzet Delver,Toastmachine,Eye Candy,1,2
2,Couldreaver,Hexproof,qbturtle15,Dimir Alchemy,2,0
2,crazy_alex,Affinity,Hellsau,Esper Familiars,2,1
2,darkrayne0,Eye Candy,manyasone,Delver,0,2
2,elevatorrider,Affinity,Tyrannical,RUG Tron,0,2
2,Entropic_Thunder,RDW,Kzrds,Izzet Control,2,1
2,greenprinny,Inside Out,Sambos,Dimir Teachings,1,2
2,HolyShamgar,Izzet Delver,Tabadonk,Burn,2,1
2,Hrymfaxe,Stompy,MakingSmartPlays,Tortured Existence,2,1
2,Iltahuikaisu,Burn,tarkanmag,Dimir Flicker,1,2
2,Malkafa,Dinrova Tron,Spokes,Stompy,2,1
2,Mathonical,Midnight Gond,tedlyted,Dinrova Tron,0,2
2,medvedev,Izzet Delver,WWEHBK,Affinity,1,2
2,nuninman,Izzet Delver,Servemais,Elves,0,2
2,pokerswizard,Delver,Rindsgerd,Dimir Angler,2,0
2,Pro_Yojimb0o_Pro,Izzet Burn,vlaprohor,Stompy,2,0
2,Russkov14,Slivers,TaotheNinja,Dinrova Tron,1,2
2,ScaughtyO,Dimir Exhume,Smashing Centaur,Red Heroic,2,1
2,TheMagePower,Izzet Delver,Xto2,Izzet Control,1,2
3,__CH1,Affinity,420dragon,Esper Familiars,2,0
3,_DissonancE_,Stompy,Xto2,Izzet Control,1,2
3,_Takeno_,Affinity,Bielzito,Dinrova Tron,1,2
3,airfarmer,Spy,manyasone,Delver,2,1
3,alfreditomelira,Stompy,bigcaban2,Dinrova Tron,0,2
3,andersongouvea,Affinity,tarkanmag,Dimir Flicker,2,1
3,Bboycott,Hexproof,Sambos,Dimir Teachings,2,1
3,BEAFy,Izzet Control,elevatorrider,Affinity,0,2
3,Brivenix,Delver,Couldreaver,Hexproof,2,0
3,Brott,Murasa Tron,m0torhead,Burn,0,2
3,Condescend,Izzet Delver,kungfutrees,Stompy,0,2
3,crazy_alex,Affinity,Toastmachine,Eye Candy,0,2
3,D0C70RF4U57,Dimir Angler,Tabadonk,Burn,2,1
3,darkrayne0,Eye Candy,Smashing Centaur,Red Heroic,0,2
3,Entropic_Thunder,RDW,Tyrannical,RUG Tron,2,1
3,goyo315,Izzet Delver,Pro_Yojimb0o_Pro,Izzet Burn,1,2
3,greenprinny,Inside Out,nuninman,Izzet Delver,2,0
3,Hellsau,Esper Familiars,miz_yari,Monowhite,2,0
3,herosaine2006,Affinity,ScaughtyO,Dimir Exhume,2,1
3,HolyShamgar,Izzet Delver,Mathonical,Midnight Gond,0,2
3,Hrymfaxe,Stompy,WWEHBK,Affinity,2,0
3,Iltahuikaisu,Burn,TonyMontana,Affinity,0,2
3,Kzrds,Izzet Control,Russkov14,Slivers,2,0
3,MakingSmartPlays,Tortured Existence,TheMagePower,Izzet Delver,1,2
3,Malkafa,Dinrova Tron,pokerswizard,Delver,0,2
3,Mandark,Dimir Alchemy,vlaprohor,Stompy,2,0
3,medvedev,Izzet Delver,TaotheNinja,Dinrova Tron,0,2
3,pproteus,Stompy,tedlyted,Dinrova Tron,1,2
3,qbturtle15,Dimir Alchemy,Servemais,Elves,2,0
3,redler,Izzet Delver,varanasibaby,Murasa Tron,2,0
4,__CH1,Affinity,Entropic_Thunder,RDW,2,0
4,_DissonancE_,Stompy,pokerswizard,Delver,2,1
4,_Takeno_,Affinity,manyasone,Delver,2,1
4,420dragon,Esper Familiars,vlaprohor,Stompy,2,1
4,airfarmer,Spy,Couldreaver,Hexproof,2,0
4,alfreditomelira,Stompy,kungfutrees,Stompy,2,0
4,andersongouvea,Affinity,Xto2,Izzet Control,2,1
4,Bboycott,Hexproof,crazy_alex,Affinity,0,2
4,BEAFy,Izzet Control,Russkov14,Slivers,2,1
4,Bielzito,Dinrova Tron,TheMagePower,Izzet Delver,1,2
4,bigcaban2,Dinrova Tron,Toastmachine,Eye Candy,1,2
4,Brivenix,Delver,Pro_Yojimb0o_Pro,Izzet Burn,2,0
4,Condescend,Izzet Delver,Mandark,Dimir Alchemy,1,2
4,D0C70RF4U57,Dimir Angler,Malkafa,Dinrova Tron,2,0
4,darkrayne0,Eye Candy,goyo315,Izzet Delver,0,2
4,elevatorrider,Affinity,redler,Izzet Delver,1,2
4,greenprinny,Inside Out,m0torhead,Burn,2,0
4,Hellsau,Esper Familiars,TaotheNinja,Dinrova Tron,0,2
4,herosaine2006,Affinity,tarkanmag,Dimir Flicker,2,1
4,HolyShamgar,Izzet Delver,Tyrannical,RUG Tron,1,2
4,Hrymfaxe,Stompy,tedlyted,Dinrova Tron,1,2
4,Iltahuikaisu,Burn,varanasibaby,Murasa Tron,0,2
4,Kzrds,Izzet Control,Smashing Centaur,Red Heroic,2,1
4,Mathonical,Midnight Gond,qbturtle15,Dimir Alchemy,1,2
4,medvedev,Izzet Delver,miz_yari,Monowhite,1,2
4,nuninman,Izzet Delver,Tabadonk,Burn,2,0
4,pproteus,Stompy,TonyMontana,Affinity,2,1
4,Sambos,Dimir Teachings,Servemais,Elves,1,2
5,__CH1,Affinity,redler,Izzet Delver,2,1
5,_DissonancE_,Stompy,airfarmer,Spy,0,2
5,_Takeno_,Affinity,Servemais,Elves,2,0
5,420dragon,Esper Familiars,kungfutrees,Stompy,2,1
5,alfreditomelira,Stompy,TheMagePower,Izzet Delver,2,0
5,andersongouvea,Affinity,tedlyted,Dinrova Tron,2,1
5,Bboycott,Hexproof,TonyMontana,Affinity,2,0
5,BEAFy,Izzet Control,Condescend,Izzet Delver,2,0
5,Bielzito,Dinrova Tron,miz_yari,Monowhite,2,1
5,bigcaban2,Dinrova Tron,crazy_alex,Affinity,2,0
5,Brivenix,Delver,Toastmachine,Eye Candy,2,1
5,Couldreaver,Hexproof,Hrymfaxe,Stompy,1,2
5,D0C70RF4U57,Dimir Angler,greenprinny,Inside Out,0,2
5,Entropic_Thunder,RDW,Mandark,Dimir Alchemy,0,2
5,goyo315,Izzet Delver,pokerswizard,Delver,2,0
5,Hellsau,Esper Familiars,varanasibaby,Murasa Tron,2,0
5,herosaine2006,Affinity,TaotheNinja,Dinrova Tron,0,2
5,Kzrds,Izzet Control,tarkanmag,Dimir Flicker,0,2
5,m0torhead,Burn,nuninman,Izzet Delver,2,0
5,Malkafa,Dinrova Tron,Sambos,Dimir Teachings,1,2
5,manyasone,Delver,vlaprohor,Stompy,1,2
5,Mathonical,Midnight Gond,Tyrannical,RUG Tron,0,2
5,medvedev,Izzet Delver,Smashing Centaur,Red Heroic,2,1
5,pproteus,Stompy,qbturtle15,Dimir Alchemy,2,1
5,Pro_Yojimb0o_Pro,Izzet Burn,Xto2,Izzet Control,0,2
6,__CH1,Affinity,Xto2,Izzet Control,2,1
6,_DissonancE_,Stompy,crazy_alex,Affinity,2,1
6,_Takeno_,Affinity,qbturtle15,Dimir Alchemy,0,2
6,420dragon,Esper Familiars,Mandark,Dimir Alchemy,2,0
6,airfarmer,Spy,bigcaban2,Dinrova Tron,1,2
6,alfreditomelira,Stompy,TaotheNinja,Dinrova Tron,2,1
6,andersongouvea,Affinity,Brivenix,Delver,0,2
6,Bboycott,Hexproof,tarkanmag,Dimir Flicker,0,2
6,BEAFy,Izzet Control,m0torhead,Burn,0,2
6,Bielzito,Dinrova Tron,Pro_Yojimb0o_Pro,Izzet Burn,2,1
6,Couldreaver,Hexproof,Servemais,Elves,2,1
6,D0C70RF4U57,Dimir Angler,Mathonical,Midnight Gond,1,2
6,Entropic_Thunder,RDW,Tabadonk,Burn,2,0
6,goyo315,Izzet Delver,greenprinny,Inside Out,2,0
6,Hellsau,Esper Familiars,herosaine2006,Affinity,1,2
6,Hrymfaxe,Stompy,pproteus,Stompy,2,0
6,kungfutrees,Stompy,Tyrannical,RUG Tron,0,2
6,Kzrds,Izzet Control,Sambos,Dimir Teachings,1,2
6,medvedev,Izzet Delver,varanasibaby,Murasa Tron,2,0
6,miz_yari,Monowhite,pokerswizard,Delver,0,2
6,redler,Izzet Delver,TheMagePower,Izzet Delver,2,1
6,tedlyted,Dinrova Tron,Toastmachine,Eye Candy,2,1
6,TonyMontana,Affinity,vlaprohor,Stompy,0,2
7,__CH1,Affinity,bigcaban2,Dinrova Tron,0,2
7,alfreditomelira,Stompy,andersongouvea,Affinity,0,2
7,Brivenix,Delver,TaotheNinja,Dinrova Tron,2,0
7,Hrymfaxe,Stompy,tedlyted,Dinrova Tron,2,0
8,andersongouvea,Affinity,bigcaban2,Dinrova Tron,1,2
